Compound,hrs,yeast,rel_abundance
leucine,0.5,cal,56.6986
leucine,0.5,eng,56.6986
leucine,0.5,pil,56.6986
leucine,0.5,sak,56.6986
leucine,0.75,bel,203.9005
leucine,0.75,cal,203.9005
leucine,0.75,eng,203.9005
leucine,0.75,pil,203.9005
leucine,0.75,sak,203.9005
leucine,0.75,bel,168.8766
leucine,0.75,cal,168.8766
leucine,0.75,eng,168.8766
leucine,0.75,pil,168.8766
leucine,0.75,sak,168.8766
leucine,0.75,bel,164.975
leucine,0.75,cal,164.975
leucine,0.75,eng,164.975
leucine,0.75,pil,164.975
leucine,0.75,sak,164.975
leucine,1,bel,72.6783
leucine,1,cal,72.6783
leucine,1,eng,72.6783
leucine,1,pil,72.6783
leucine,1,sak,72.6783
leucine,1,bel,68.6008
leucine,1,cal,68.6008
leucine,1,eng,68.6008
leucine,1,pil,68.6008
leucine,1,sak,68.6008
leucine,1,bel,61.7553
leucine,1,cal,61.7553
leucine,1,eng,61.7553
leucine,1,pil,61.7553
leucine,1,sak,61.7553
leucine,1.25,bel,82.6618
leucine,1.25,cal,82.6618
leucine,1.25,eng,82.6618
leucine,1.25,pil,82.6618
leucine,1.25,sak,82.6618
leucine,1.25,bel,88.8566
leucine,1.25,cal,88.8566
leucine,1.25,eng,88.8566
leucine,1.25,pil,88.8566
leucine,1.25,sak,88.8566
leucine,1.25,bel,83.2234
leucine,1.25,cal,83.2234
leucine,1.25,eng,83.2234
leucine,1.25,pil,83.2234
leucine,1.25,sak,83.2234
leucine,1.87,bel,52.0835
leucine,1.87,cal,52.0835
leucine,1.87,eng,52.0835
leucine,1.87,pil,52.0835
leucine,1.87,sak,52.0835
leucine,1.87,bel,51.2889
leucine,1.87,cal,51.2889
leucine,1.87,eng,51.2889
leucine,1.87,pil,51.2889
leucine,1.87,sak,51.2889
leucine,1.87,bel,50.9281
leucine,1.87,cal,50.9281
leucine,1.87,eng,50.9281
leucine,1.87,pil,50.9281
leucine,1.87,sak,50.9281
leucine,2.58,bel,54.5272
leucine,2.58,cal,54.5272
leucine,2.58,eng,54.5272
leucine,2.58,pil,54.5272
leucine,2.58,sak,54.5272
leucine,2.58,bel,55.2111
leucine,2.58,cal,55.2111
leucine,2.58,eng,55.2111
leucine,2.58,pil,55.2111
leucine,2.58,sak,55.2111
leucine,2.58,bel,55.11
leucine,2.58,cal,55.11
leucine,2.58,eng,55.11
leucine,2.58,pil,55.11
leucine,2.58,sak,55.11
leucine,2.67,bel,61.901
leucine,2.67,cal,61.901
leucine,2.67,eng,61.901
leucine,2.67,pil,61.901
leucine,2.67,sak,61.901
leucine,2.67,bel,61.0989
leucine,2.67,cal,61.0989
leucine,2.67,eng,61.0989
leucine,2.67,pil,61.0989
leucine,2.67,sak,61.0989
leucine,2.67,bel,60.1264
leucine,2.67,cal,60.1264
leucine,2.67,eng,60.1264
leucine,2.67,pil,60.1264
leucine,2.67,sak,60.1264
leucine,3,bel,0
leucine,3,cal,0
leucine,3,eng,0
leucine,3,pil,0
leucine,3,sak,0
leucine,3,bel,0
leucine,3,cal,0
leucine,3,eng,0
leucine,3,pil,0
leucine,3,sak,0
leucine,3,bel,0
leucine,3,cal,0
leucine,3,eng,0
leucine,3,pil,0
leucine,3,sak,0
leucine,3.42,bel,80.7348
leucine,3.42,cal,80.7348
leucine,3.42,eng,80.7348
leucine,3.42,pil,80.7348
leucine,3.42,sak,80.7348
leucine,3.42,bel,76.2353
leucine,3.42,cal,76.2353
leucine,3.42,eng,76.2353
leucine,3.42,pil,76.2353
leucine,3.42,sak,76.2353
leucine,3.42,bel,74.5565
leucine,3.42,cal,74.5565
leucine,3.42,eng,74.5565
leucine,3.42,pil,74.5565
leucine,3.42,sak,74.5565
leucine,3.5,bel,95.541
leucine,3.5,cal,95.541
leucine,3.5,eng,95.541
leucine,3.5,pil,95.541
leucine,3.5,sak,95.541
leucine,3.5,bel,0
leucine,3.5,cal,0
leucine,3.5,eng,0
leucine,3.5,pil,0
leucine,3.5,sak,0
leucine,3.5,bel,81.0996
leucine,3.5,cal,81.0996
leucine,3.5,eng,81.0996
leucine,3.5,pil,81.0996
leucine,3.5,sak,81.0996
leucine,4.93,bel,78.0685
leucine,4.93,cal,78.0685
leucine,4.93,eng,78.0685
leucine,4.93,pil,78.0685
leucine,4.93,sak,78.0685
leucine,4.93,bel,77.3629
leucine,4.93,cal,77.3629
leucine,4.93,eng,77.3629
leucine,4.93,pil,77.3629
leucine,4.93,sak,77.3629
leucine,4.93,bel,77.1781
leucine,4.93,cal,77.1781
leucine,4.93,eng,77.1781
leucine,4.93,pil,77.1781
leucine,4.93,sak,77.1781
leucine,27,bel,67.8233
leucine,27,cal,93.2991
leucine,27,eng,0
leucine,27,pil,69.1605
leucine,27,sak,66.2839
leucine,27,bel,66.0094
leucine,27,cal,0
leucine,27,eng,128.3638
leucine,27,pil,70.7045
leucine,27,sak,62.017
leucine,27,bel,64.7551
leucine,27,cal,79.2578
leucine,27,eng,109.9196
leucine,27,pil,68.9665
leucine,27,sak,58.7142
leucine,35,bel,51.79
leucine,35,cal,5.3267
leucine,35,eng,0
leucine,35,pil,64.2636
leucine,35,sak,86.8392
leucine,35,bel,49.6304
