Compound,log2_hrs,bel,cal,eng,pil,sak,,,,,,,,,,,,,,,,,,,,,
leucine,1,68.6008,68.6008,68.6008,68.6008,68.6008,,,,,,,,,,,,,,,,,,,,,
leucine,1,61.7553,61.7553,61.7553,61.7553,61.7553,,,,,,,,,,,,,,,,,,,,,
leucine,1.25,82.6618,82.6618,82.6618,82.6618,82.6618,,,,,,,,,,,,,,,,,,,,,
leucine,1.25,88.8566,88.8566,88.8566,88.8566,88.8566,,,,,,,,,,,,,,,,,,,,,
leucine,1.25,83.2234,83.2234,83.2234,83.2234,83.2234,,,,,,,,,,,,,,,,,,,,,
leucine,1.87,52.0835,52.0835,52.0835,52.0835,52.0835,,,,,,,,,,,,,,,,,,,,,
leucine,1.87,51.2889,51.2889,51.2889,51.2889,51.2889,,,,,,,,,,,,,,,,,,,,,
leucine,1.87,50.9281,50.9281,50.9281,50.9281,50.9281,,,,,,,,,,,,,,,,,,,,,
leucine,2.58,54.5272,54.5272,54.5272,54.5272,54.5272,,,,,,,,,,,,,,,,,,,,,
leucine,2.58,55.2111,55.2111,55.2111,55.2111,55.2111,,,,,,,,,,,,,,,,,,,,,
leucine,2.58,55.11,55.11,55.11,55.11,55.11,,,,,,,,,,,,,,,,,,,,,
leucine,2.67,61.901,61.901,61.901,61.901,61.901,,,,,,,,,,,,,,,,,,,,,
leucine,2.67,61.0989,61.0989,61.0989,61.0989,61.0989,,,,,,,,,,,,,,,,,,,,,
leucine,2.67,60.1264,60.1264,60.1264,60.1264,60.1264,,,,,,,,,,,,,,,,,,,,,
leucine,3,,,,,,,,,,,,,,,,,,,,,,,,,,
leucine,3,,,,,,,,,,,,,,,,,,,,,,,,,,
leucine,3,,,,,,,,,,,,,,,,,,,,,,,,,,
leucine,3.42,80.7348,80.7348,80.7348,80.7348,80.7348,,,,,,,,,,,,,,,,,,,,,
leucine,3.42,76.2353,76.2353,76.2353,76.2353,76.2353,,,,,,,,,,,,,,,,,,,,,
leucine,3.42,74.5565,74.5565,74.5565,74.5565,74.5565,,,,,,,,,,,,,,,,,,,,,
leucine,3.5,95.541,95.541,95.541,95.541,95.541,,,,,,,,,,,,,,,,,,,,,
leucine,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
leucine,3.5,81.0996,81.0996,81.0996,81.0996,81.0996,,,,,,,,,,,,,,,,,,,,,
